"","country","Frequency","Sector","Incident","Date"
"488","Somalia",0,"Aid Workers","Arrested","2018"
"489","Niger",0,"Aid Workers","Arrested","2018"
"490","Myanmar",0,"Aid Workers","Arrested","2018"
"491","Brazil",0,"Aid Workers","Arrested","2018"
"492","Bangladesh",1,"Aid Workers","Arrested","2018"
"493","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"494","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"495","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"496","South Sudan",0,"Aid Workers","Arrested","2018"
"497","South Sudan",0,"Aid Workers","Arrested","2018"
"498","South Sudan",0,"Aid Workers","Arrested","2018"
"499","Somalia",0,"Aid Workers","Arrested","2018"
"500","Somalia",0,"Aid Workers","Arrested","2018"
"501","Somalia",0,"Aid Workers","Arrested","2018"
"502","Lebanon",1,"Aid Workers","Arrested","2018"
"503","Guatemala",0,"Aid Workers","Arrested","2018"
"504","DRC",0,"Aid Workers","Arrested","2018"
"505","DRC",0,"Aid Workers","Arrested","2018"
"506","Cambodia",14,"Aid Workers","Arrested","2018"
"507","Cambodia",1,"Aid Workers","Arrested","2018"
"508","Burkina Faso",0,"Aid Workers","Arrested","2018"
"509","Afghanistan",0,"Aid Workers","Arrested","2018"
"510","Afghanistan",0,"Aid Workers","Arrested","2018"
"511","Yemen",0,"Aid Workers","Arrested","2018"
"512","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"513","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"514","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"515","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"516","Syrian Arab Republic",0,"Aid Workers","Arrested","2018"
"517","OPT",0,"Aid Workers","Arrested","2018"
"518","Afghanistan",0,"Aid Workers","Arrested","2018"
